index;hash_cnst;hash_symb;hash_strlen;hash_ascii;hash_rol;hash_ror;hash_mrot
514;0;0;0;12;9;0;10
515;0;0;0;18;13;0;8
516;0;0;0;20;15;0;9
517;0;0;0;17;11;0;10
518;0;0;0;20;16;0;12
519;0;0;0;13;12;0;15
520;0;0;0;21;12;0;7
521;0;0;0;12;14;0;13
522;0;0;0;12;21;0;6
523;0;0;0;19;10;0;9
524;0;0;0;15;9;0;11
525;0;0;0;19;19;0;4
526;0;0;0;16;10;0;8
527;0;0;0;22;6;0;9
528;0;0;0;27;13;0;13
529;0;0;0;25;9;0;7
530;0;0;0;23;11;0;9
531;0;0;0;22;9;0;10
532;0;0;0;31;13;0;8
533;0;0;0;21;16;0;13
534;0;0;0;27;18;0;10
535;0;0;0;31;11;0;9
536;0;0;0;30;10;0;9
537;0;0;0;36;11;0;12
538;0;0;0;25;24;0;11
539;0;0;0;22;14;0;12
540;0;0;0;26;15;0;3
541;0;0;0;25;12;0;9
542;0;0;0;29;12;0;6
543;0;0;0;32;9;0;14
544;0;0;0;22;14;0;11
545;0;0;0;30;8;0;13
546;0;0;0;29;14;0;5
547;0;0;0;24;11;0;6
548;0;0;0;27;10;0;16
549;0;0;0;20;16;0;8
550;0;0;0;19;15;0;13
551;0;0;0;14;17;0;16
552;0;0;0;37;17;0;6
553;0;0;0;19;13;0;6
554;0;0;0;23;9;0;10
555;0;0;0;18;8;0;9
556;0;0;0;15;13;0;12
557;0;0;0;22;14;0;9
558;0;0;0;12;16;0;14
559;0;0;0;13;13;0;5
560;0;0;0;10;14;0;14
561;0;0;0;13;18;0;8
562;0;0;0;8;10;0;13
563;0;0;0;5;8;0;6
564;0;0;0;9;13;0;6
565;0;0;0;5;16;0;7
566;0;0;0;5;13;0;8
567;0;0;0;3;10;0;12
568;0;0;0;3;6;0;11
569;0;0;0;8;11;0;6
570;0;0;0;2;6;0;4
571;0;0;0;5;8;0;14
572;0;0;0;2;15;0;9
573;0;0;0;2;18;0;12
574;0;0;0;1;10;0;4
575;0;0;0;4;16;0;8
576;0;0;0;1;11;0;9
577;0;0;0;3;11;0;10
578;0;0;0;2;14;0;9
579;0;0;0;2;12;0;13
580;0;0;0;0;14;0;7
581;0;0;0;4;10;0;5
582;0;0;0;5;10;0;13
583;0;0;0;3;13;0;12
584;0;0;0;0;7;0;5
585;0;0;0;2;14;0;13
586;0;0;0;2;18;0;13
587;0;0;0;1;7;0;12
588;0;0;0;1;16;0;10
589;0;0;0;1;11;0;9
590;0;0;0;1;6;0;6
591;0;0;0;1;10;0;8
592;0;0;0;1;13;0;7
593;0;0;0;1;7;0;12
594;0;0;0;0;11;0;8
595;0;0;0;2;12;0;10
596;0;0;0;0;10;0;11
597;0;0;0;4;15;0;12
598;0;0;0;2;6;0;5
599;0;0;0;4;13;0;9
600;0;0;0;1;6;0;11
601;0;0;0;1;12;0;5
602;0;0;0;7;8;0;13
603;0;0;0;4;11;0;13
604;0;0;0;3;11;0;9
605;0;0;0;7;11;0;9
606;0;0;0;5;10;0;9
607;0;0;0;5;14;0;6
608;0;0;0;3;9;0;11
609;0;0;0;5;15;0;5
610;0;0;0;3;7;0;12
611;0;0;0;6;10;0;10
612;0;0;0;12;10;0;9
613;0;0;0;12;10;0;12
614;0;0;0;11;8;0;10
615;0;0;0;13;5;0;9
616;0;0;0;12;11;0;9
617;0;0;0;28;14;0;6
618;0;0;0;15;12;0;11
619;0;0;0;16;6;0;9
620;0;0;0;14;7;0;8
621;0;0;0;16;9;0;16
622;0;0;0;19;9;0;9
623;0;0;0;17;10;0;8
624;0;0;0;20;8;0;16
625;0;0;0;13;9;0;11
626;0;0;0;25;7;0;11
627;0;0;0;23;9;0;4
628;0;0;0;21;9;0;12
629;0;0;0;23;17;0;9
630;0;0;0;23;13;0;9
631;0;0;0;23;11;0;7
632;0;0;0;31;11;0;8
633;0;0;0;20;19;0;14
634;0;0;0;26;10;0;8
635;0;0;0;27;5;0;16
636;0;0;0;25;16;0;9
637;0;0;0;31;14;0;19
638;0;0;0;25;8;0;5
639;0;0;0;26;10;0;12
640;0;0;0;36;8;0;13
641;0;0;0;45;9;0;6
642;0;0;0;33;16;0;16
643;0;0;0;23;10;0;11
644;0;0;0;31;18;0;7
645;0;0;0;27;16;0;14
646;0;0;0;25;7;0;15
647;0;0;0;40;6;0;13
648;0;0;0;34;12;0;10
649;0;0;0;40;13;0;10
650;0;0;0;33;13;0;15
651;0;0;0;36;17;0;10
652;0;0;0;38;6;0;9
653;0;0;0;30;8;0;9
654;0;0;0;23;8;0;14
655;0;0;0;34;17;0;4
656;0;0;0;20;8;0;9
657;0;0;0;28;15;0;9
658;0;0;0;30;8;0;10
659;0;0;0;29;13;0;5
660;0;0;0;17;17;0;10
661;0;0;0;28;16;0;7
662;0;0;0;9;13;0;9
663;0;0;0;28;13;0;8
664;0;0;0;19;12;0;7
665;0;0;0;16;18;0;11
666;0;0;0;7;14;0;14
667;0;0;0;17;11;0;13
668;0;0;0;21;16;0;8
669;0;0;0;12;9;0;20
670;0;0;0;7;10;0;9
671;0;0;0;14;9;0;9
672;0;0;0;11;10;0;13
673;0;0;0;7;10;0;11
674;0;0;0;5;8;0;11
675;0;0;0;3;9;0;9
676;0;0;0;6;25;0;5
677;0;0;0;3;15;0;5
678;0;0;0;6;15;0;9
679;0;0;0;6;10;0;5
680;0;0;0;5;8;0;10
681;0;0;0;2;16;0;9
682;0;0;0;4;10;0;8
683;0;0;0;2;15;0;9
684;0;0;0;3;5;0;9
685;0;0;0;3;15;0;13
686;0;0;0;3;11;0;13
687;0;0;0;0;9;0;12
688;0;0;0;0;10;0;9
689;0;0;0;0;12;0;5
690;0;0;0;1;9;0;10
691;0;0;0;2;13;0;11
692;0;0;0;1;16;0;8
693;0;0;0;2;14;0;17
694;0;0;0;2;12;0;7
695;0;0;0;1;18;0;8
696;0;0;0;1;13;0;8
697;0;0;0;3;11;0;8
698;0;0;0;4;12;0;9
699;0;0;0;3;6;0;7
700;0;0;0;3;10;0;7
701;0;0;0;1;13;0;15
702;0;0;0;5;10;0;14
703;0;0;0;3;13;0;9
704;0;0;0;2;2;0;10
705;0;0;0;2;6;0;5
706;0;0;0;3;13;0;17
707;0;0;0;2;13;0;5
708;0;0;0;2;12;0;6
709;0;0;0;4;12;0;12
710;0;0;0;5;11;0;5
711;0;0;0;4;5;0;18
712;0;0;0;6;7;0;10
